"geocode","city","type of sell","average market price"
"29185","PLOUESCAT","Maison","1602"
"29124","LESNEVEN","Maison","1469"
"29209","PLOUVIEN","Maison","1861"
"29097","LAMPAUL-GUIMILIAU","Maison","1178"
"29043","DAOULAS","Maison","1785"
"29113","LANMEUR","Maison","1424"
"29010","BODILIS","Maison","1146"
"29101","LANDEDA","Maison","2260"
"29180","PLOUDIRY","Maison","1373"
"29237","LA ROCHE MAURICE","Maison","1559"
"29038","COMMANA","Maison","795"
"29144","LA MARTYRE","Maison","1282"
"29137","LOGONNA-DAOULAS","Maison","1758"
"29265","SAINTE-SEVE","Maison","1249"
"29301","TREZILIDE","Maison","1141"
"29067","GUERLESQUIN","Maison","1090"
"29179","PLOUDANIEL","Maison","1711"
"29255","SAINT-MEEN","Maison","1649"
"29287","TREFLEZ","Maison","1495"
"29132","LOCQUENOLE","Maison","1926"
"29277","SIZUN","Maison","1097"
"29074","GUIMILIAU","Maison","1122"
"29077","GUISSENY","Maison","1587"
"29080","L HOPITAL CAMFROUT","Maison","1729"
"29064","GOULVEN","Maison","1201"
"29073","GUIMAEC","Maison","1793"
"29156","PENCRAN","Maison","1811"
"29056","LA FOREST-LANDERNEAU","Maison","1793"
"29245","ST DIVY","Maison","1695"
"29187","PLOUGAR","Maison","1057"
"29091","KERLOUAN","Maison","1657"
"29015","BOURG BLANC","Maison","1760"
"29202","PLOUNEOUR-MENEZ","Maison","1126"
"29251","ST-JEAN-DU-DOIGT","Maison","1908"
"29264","SAINT-SERVAIS","Maison","1351"
"29093","KERNILIS","Maison","1447"
"29014","BOTSORHEL","Maison","1014"
"29193","PLOUGOURVEST","Maison","1157"
"29068","GUICLAN","Maison","1192"
"29100","LANARVILY","Maison","1335"
"29239","ROSCOFF","Maison","2401"
"29079","HENVIC","Maison","1540"
"29078","HANVEC","Maison","1692"
"29295","TREMAOUEZAN","Maison","1358"
"29131","LOCMELAR","Maison","1262"
"29082","ILE-DE-BATZ","Maison","3178"
"29181","PLOUEDERN","Maison","1579"
"29095","KERSAINT PLABENNEC","Maison","2757"
"29035","COAT MEAL","Maison","1730"
"29276","SIBIRIL","Maison","1329"
"29086","IRVILLAC","Maison","1551"
"29148","MESPAUL","Maison","1088"
"29047","LE DRENNEC","Maison","1574"
"29268","ST THONAN","Maison","1687"
"29246","SAINT-ELOY","Maison","1067"
"29286","TREFLEVENEZ","Maison","1201"
"29094","KERNOUES","Maison","1425"
"29013","BOTMEUR","Maison","554"
"29238","ROSCANVEL","Maison","1957"
"29229","QUEMENEVEN","Maison","981"
"29256","SAINT-NIC","Maison","1344"
"29123","LENNON","Maison","905"
"29263","SAINT-SEGAL","Maison","1119"
"29240","ROSNOEN","Maison","1502"
"29243","SAINT-COULITZ","Maison","1153"
"29280","TELGRUC-SUR-MER","Maison","1850"
"29261","SAINT-RIVOAL","Maison","691"
"29033","LE CLOITRE-PLEYBEN","Maison","570"
"29175","PLONEVEZ DU FAOU","Maison","838"
"29250","SAINT HERNIN","Maison","1116"
"29152","MOTREFF","Maison","931"
"29267","SAINT THOIS","Maison","1039"
"29104","LANDEVENNEC","Maison","1955"
"29089","KERGLOFF","Maison","937"
"29141","LOQUEFFRET","Maison","787"
"29054","LA FEUILLEE","Maison","840"
"29029","CLEDEN-POHER","Maison","1022"
"29271","SAINT-VOUGAY","Maison","1250"
